ts,inverter,code,meaning
2017-10-29 11:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 11:55:00,01.01.001,655366,Absinken des positiven Zwischenkreises unter Netzscheitelwert
2018-01-19 07:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:20:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:25:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:30:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:35:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:40:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:45:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:50:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 07:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:20:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:25:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:30:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:35:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:40:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:45:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:50:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 08:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-01-19 09:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 09:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-01-19 10:45:00,01.01.001,655365,Absinken des positiven Zwischenkreises unter Netzscheitelwert
2018-06-10 19:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-10 19:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-10 19:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-10 19:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-10 19:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-10 19:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-10 19:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-10 19:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-10 19:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 02:55:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
2018-06-11 03:20:00,01.01.001,655616,Störmeldung vom Leistungsteil
